name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,826994,production,MT,2013,6.2425255,-2.2845655
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1757379,production,MT,2006,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1305809,production,MT,2007,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,933593,production,MT,2008,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1152866,production,MT,2009,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1028431,production,MT,2010,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1827692,production,MT,2011,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1484738,production,MT,2012,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1977911,production,MT,2013,5.273368,-1.9821333
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,production,bbl,2006,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,production,bbl,2007,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,production,bbl,2008,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,production,bbl,2009,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,1181088,production,bbl,2010,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,24195895,production,bbl,2011,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,26351278,production,bbl,2012,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,35587558,production,bbl,2013,4.49275,-2.91667
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2006,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2007,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2008,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2009,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2010,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,production,bbl,2011,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,106267.71,production,bbl,2012,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,95124.83,production,bbl,2013,,
