project_name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Property rate,GHS,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Property rate,GHS,2011,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,28000.0,Property rate,GHS,2012,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,28000.0,Property rate,GHS,2013,4.95613,-1.74714
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,1464248.0,Royalties,GHS,2006,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,2075180.0,Royalties,GHS,2007,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,3071895.0,Royalties,GHS,2008,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,7720269.0,Royalties,GHS,2009,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,9600151.0,Royalties,GHS,2010,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,14872591.0,Royalties,GHS,2011,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,21828134.0,Royalties,GHS,2012,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,26291802.8,Royalties,GHS,2013,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2006,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2007,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2008,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2009,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2010,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2011,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Corporate income tax,GHS,2012,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,47740270.0,Corporate income tax,GHS,2013,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2006,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2007,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,         ,Ground rent,GHS,2008,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2009,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2010,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2011,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2012,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Ground rent,GHS,2013,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2006,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2007,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2008,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2009,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2010,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2011,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2012,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Dividend,GHS,2013,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,21369.0,Property rate,GHS,2006,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,85738.0,Property rate,GHS,2007,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,35745.0,Property rate,GHS,2008,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Property rate,GHS,2009,5.292,-1.4359
GSR (Wassa) Ltd,324G000112,Gold,Akyempim,Western ,110.22,,Property rate,GHS,2010,5.292,-1.4359
