name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2006,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2007,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2008,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2009,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2010,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,revenue,GHS,2011,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,24051513.0,revenue,GHS,2012,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,27624584.0,revenue,GHS,2013,5.9602024,-1.8951464
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,revenue,GHS,2006,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,revenue,GHS,2007,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,        ,revenue,GHS,2008,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,revenue,GHS,2009,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,revenue,GHS,2010,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,revenue,GHS,2011,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,756091.0,revenue,GHS,2012,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,2957223.0,revenue,GHS,2013,6.452944,-2.3149591
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2006,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2007,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2008,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2009,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2010,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,revenue,GHS,2011,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,3094356.0,revenue,GHS,2012,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,411881.0,revenue,GHS,2013,5.4348895,-2.141486
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,619568.0,revenue,GHS,2006,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,554052.0,revenue,GHS,2007,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,472645.0,revenue,GHS,2008,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,592076.0,revenue,GHS,2009,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,1033823.0,revenue,GHS,2010,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,689863.0,revenue,GHS,2011,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,1996845.0,revenue,GHS,2012,6.2425255,-2.2845655
